Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2016 Required,2016 Available,2016 Expenditure,2017 Required,2017 Available,2017 Expenditure,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure,2028 Required,2028 Available,2028 Expenditure
Lesotho,United Nations Development Assistance Framework,Sustainable Human Capital Development,"Outcome 2.1 By 2023, all people, particularly the most vulnerable benefit from gender responsive social policies and programmes for the sustainable and equitable realization of their rights",Output 2.1.5,"Conduct Impact Assessment on child marriage in 3 community councils in 5 districts. Botha-Bothe, Thabat-Tseka Qacha's Neck,Mokhotlong and Quthing to determine the prevalence of child marriage, early and forced marriages","5.1 End all forms of discrimination against all women and girls everywhere.,5.2 Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.,5.3 Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation.",5 Gender Equality,"Direct Support/ Service Delivery, Capacity Development/Technical Assistance, Support Functions",14000.0,8000.0,8000.0,,,,,,,,,,,,,,,,,,,,,,14000.0,8000.0,8000.0,,,,,,,,,,,,,,,
Rwanda,United Nations Sustainable Development Cooperation Framework 2018-2024,"Strategic Priority 1- Economic Transformation: By 2024, people in Rwanda enjoy an improved quality of life sustained by a modern economy that is globally competitive, knowledge-based and environmentally sustainable","OUTCOME 1: BY 2024, PEOPLE IN RWANDA BENEFIT FROM MORE INCLUSIVE, COMPETITIVE, AND SUSTAINABLE ECONOMIC GROWTH THAT GENERATES DECENT WORK AND PROMOTES QUALITY LIVELIHOODS FOR ALL","Output 1.1.5 - National institutions have increased  technical capacity to identify, access and use various domestic and international innovative modalities and sources of financing NST1 and SDGs","Key Activity 1.5.1. Capacity building of GoR (MINECOFIN and related agencies) to fully align with the Aid Effectiveness Agenda (coordination, harmonization, alignment & mutual accountability)","1.a Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions.",1 No Poverty,Capacity Development/Technical Assistance,200000.0,222979.0,222979.0,,,,,,,,,,,,,,,,90000.0,,,90000.0,212979.0,212979.0,20000.0,10000.0,10000.0,,,,,,,,,,,,,,,
Mali,Cadre De Cooperation Des Nations Unies Pour Le Developpment Durable (UNSDCF 2020 - 2024),"AXE 1 UNSDCF: GOUVERNANCE EFFICACE ET REDEVABLE POUR UNE SOCIETE EN PAIX, JUSTE ET INCLUSIVE","Effet 1.1 : D’ici 2024, les populations vivent dans un état de droit, un environnement de paix et de redevabilité grâce à des institutions publiques fortes, des médias et une société civile exerçant leurs rôles et responsabilités pour une gouvernance efficace et inclusive ","Output 1.1.6 - Les institutions publiques et la société civile au niveau national, régional et local disposent de données statistiques et analyses fiables et désagrégées pour planifier, budgétiser, suivre et évaluer les politiques publiques, programmes et plans axés sur les ODD","Mise en œuvre de deux ""Migrant Presence Surveys"" pour déterminer quels migrants se trouvent au Mali avec quelles vulnérabilités","10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies.",10 Reduced Inequalities,Data Collection and Analysis,100000.0,100000.0,0.0,,,,,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Mali,Cadre De Cooperation Des Nations Unies Pour Le Developpment Durable (UNSDCF 2020 - 2024),"AXE 2 UNSDCF: CROISSANCE INCLUSIVE, RESILIENCE ET DURABILITE ENVIRONNEMENTALE","Effet 2.1 : D'ici 2024, les populations maliennes, particulièrement les plus vulnérables, participent à l'économie et bénéficient des fruits d'une croissance forte, inclusive, résiliente et créatrice d'emplois décents","Output 2.1.5 - Les autorités et acteurs nationaux disposent de capacités renforcées dans le domaine de la conception, mise en œuvre et du suivi et évaluation de mesures sensibles au genre, à l’équité, aux crises et chocs dans les politiques et stratégies économiques",Mettre en place 120 Clubs DIMITRA afin de permettre aux communautés d’éliminer le travail des enfants à travers une approche participative (338/ILO)	,"8.7 Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms.",8 Decent Jobs and Economic Growth,Capacity Development/Technical Assistance,30000.0,30000.0,0.0,,,,,,,,,,,,,,,,30000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Cadre de Partenariat pour le Développement Durable 2018-2023,Priorité stratégique 2 Capital humain et services sociaux de base,"EFFET 2.3 : Les institutions, la société civile et les communautés assurent une meilleure protection des personnes contre différentes formes de discriminations dont les séquelles de l'esclavage, l’exploitation et les violences physiques, psychologiques et sexuelles.","S2E3P1 Les prestataires de services et les acteurs locaux ont les capacités pour prévenir, identifier, référer, prendre en charge et suivre les personnes à risques ou victimes de violences et d’abus, y inclus sur base sur le genre et en situation d’urgences. ","Renforcement des capacités de la DPJE et des acteurs de la justice sur le droit penal des mineurs, les  procédures judiciaires, les droits des enfants en detention et conforment à l'OPPE, aux decreters sur les mesures alternaives et aux standards internationaux en matière de justice juvénile",16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,912911.0,612911.0,248339.0,,,,,,,,,,,,,,,,,,,700000.0,400000.0,35428.0,212911.0,212911.0,212911.0,,,,,,,,,,,,,,,
Chad,United Nations Sustainable Development Cooperation Framework (2024-2026),SERVICES SOCIAUX DE BASE DE QUALITE,Accès et utilisation des services sociaux de base ,Accès et l’utilisation des services sociaux de base de qualité,Appuyer dans l’organisation de campagnes de supplémentation en vitamine A couplées au déparasitage deux fois l’an.,"4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.,4.2 By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education.,4.5 By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations.",4 Quality Education,"Capacity Development/Technical Assistance, Data Collection and Analysis, Direct Support/ Service Delivery",496294.0,496294.0,496294.0,,,,,,,,,,,,,,,,,,,,,,,,,496294.0,496294.0,496294.0,,,,,,,,,,,,
Tunisia,Tunisia - Plan cadre des Nations Unies pour l'aide au développement 2021 – 2025,Priorités stratégiques 2 : Mener des actions pour contribuer à réduire les inégalités et améliorer la résilience de la Tunisie aux crises et aux risques climatiques,"Effet 2: En 2025, des institutions redevables soutenues par un cadre législatif harmonisé et des populations engagées garantissent le renforcement de l’état de droit, la protection des droits humains et la cohésion et justice sociales, particulièrement pour les plus vulnérables, conformément aux conventions et normes internationales et en complémentarité et interdépendance avec les efforts de développement inclusif et durable","Produit 2.2 : Les systèmes et les capacités des acteurs dans les secteurs de la justice et de la sécurité sont renforcés et leurs moyens modernisés pour plus d’efficacité, d’accessibilité et de redevabilité dans le respect des principes de l’Etat de droit et du droit international des droits de l’homme",2.2.8 Appuyer la Tunisie à démanteler les réseaux criminels transfrontaliers impliqués dans la traite des personnes et le trafic illicite de migrants en Afrique du Nord,"8.7 Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms.,16.2 End abuse, exploitations, trafficking and all forms of violence against and torture of children.","8 Decent Jobs and Economic Growth, 16 Peace and Justice - Strong Institutions",Capacity Development/Technical Assistance,5300000.0,5300000.0,0.0,,,,,,,,,,,,,,,,3800000.0,3800000.0,,1500000.0,1500000.0,,,,,,,,,,,,,,,,,,,
Mali,Cadre De Cooperation Des Nations Unies Pour Le Developpment Durable (UNSDCF 2020 - 2024),"AXE 1 UNSDCF: GOUVERNANCE EFFICACE ET REDEVABLE POUR UNE SOCIETE EN PAIX, JUSTE ET INCLUSIVE","Effet 1.1 : D’ici 2024, les populations vivent dans un état de droit, un environnement de paix et de redevabilité grâce à des institutions publiques fortes, des médias et une société civile exerçant leurs rôles et responsabilités pour une gouvernance efficace et inclusive ","Output 1.1.1 - Les acteurs étatiques et non étatiques en charge de la justice et de la chaîne pénale disposent de capacités renforcées pour fournir des services de qualité à la population et particulièrement les groupes spécifiques (enfants, victimes de VBG, etc.)",1.1.1.3 - Disséminer le manuel de formation de formateur sur la protection des victimes de traite (cible 2020: 100 exemplaires),"5.2 Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.,10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies.,16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.","5 Gender Equality, 10 Reduced Inequalities, 16 Peace and Justice - Strong Institutions",Normative Support,15000.0,15000.0,0.0,,,,,,,,,,,,,15000.0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,United Nations Sustainable Development Cooperation Framework (2020-2023),Strategic Priority 1 - ECONOMIC AND SOCIAL TRANSFORMATION,"Outcome 1.1 - Outcome 1: By 2022, the Angolan population, particularly the most vulnerable, has better access to quality and integrated social and productive services and to a diversified economy capable of the creation of decent employment and earnings in order to reduce poverty.","Output 1.1.1 -  National capacities have been strengthened to develop, implement, monitor and budget strategies and programmes to end poverty in all its forms in a multisectoral manner",1. Hold immunisation working group meetings to identify progress in vaccination coverage and determine annual targets for 2024;  2. Carry out quantification of vaccine needs for 2024;  3. Estimate the appropriate flow of procurement to avoid stock-outs.,"3.b Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on TradeRelated Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all.",3 Good Health and Well-being,"Direct Support/ Service Delivery, Data Collection and Analysis",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,PLAN CADRE DE COOPÉRATION DES NATIONS UNIES POUR LE DÉVELOPPEMENT DURABLE,"Consolidation de la paix, respect des Droits humains, protection des civils, cohésion sociale et démocratie","D’ici 2024, la prévalence de la violence et des conflits armés est réduite et la sécurité des personnes et des biens est améliorée en particulier celle des personnes vulnérables, y compris les réfugiés/déplacés, des femmes et les jeunes",L’autorité de l’Etat est restaurée sur l’ensemble du territoire de la RDC à travers des institutions efficaces et bénéficiant de la confiance de la population,"Renforcer les  connaissances et  les capacités de la  police judiciaire (technique d'enquête , analyse criminelle...)   pour une  réponse efficace  aux affaires pénales dans le respect des droits humains (niveaux central & provincial/local)      ",16.1 Significantly reduce all forms of violence and related death rates everywhere.,16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,1034794.0,1034794.0,1034794.0,,,,,,,,,,,,,,,,,,,,,,,,,1034794.0,1034794.0,1034794.0,,,,,,,,,,,,
