Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2016 Required,2016 Available,2016 Expenditure,2017 Required,2017 Available,2017 Expenditure,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure,2028 Required,2028 Available,2028 Expenditure
Lao PDR,UNSDCF 2022 - 2026,Inclusive Prosperity,2 Inclusive Prosperity,2.4 Migration Policy,Enhance Evidence Base for Migration Governance Through Digital Application in Lao People's Democratic Republic,"10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies.,17.8 Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology.",10 Reduced Inequalities; 17 Partnerships for the Goals,Capacity Development/Technical Assistance,195731,195731,8713,97865.5,84457.93,67160.88,97865.5,68057.58,52331.15,97865.5,78965.53,55889.69,97865.5,80920.03,57994.19,97865.5,74428.3,67557.01,97865.5,75947.51,55803.68,97865.5,75166.2,60572.86,43262.0,40838.57,32293.14,152469.0,137526.83,105133.48,97865.5,78033.51,62018.56,,,,,,,,,
Sri Lanka,UNSDF 2018 - 2022,Driver 2: Strengthened innovative public institutions and engagement toward a lasting peace,"By 2022, people in Sri Lanka, especially the marginalised and vulnerable, benefit from more rights-based, accountable, inclusive and effective public institutions, to enhance trust amongst communities and towards the State",Digital Transformation and Innovation,"Improve the digital capacity of Government & NGO IPs (hardware, software, staff capacity","9.3 Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets.","9 Industry, Innovation and Infrastructure",-,114514,114514,55840,57257.0,51937.89,43010.66,57257.0,47537.16,36265.19,57257.0,49778.3,43443.43,53167.38,34173.4,28351.72,58674.0,53276.32,36118.86,55840.0,41229.87,35395.62,139188.73,108358.65,85964.9,68377.30142857143,52732.24,33240.22,68377.30142857143,58080.94,44593.7,68377.30142857143,51529.58,45612.9,,,,,,,,,
Thailand,United Nations Sustainable Development Cooperation Framework,"Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","Digital transformation, digital inclusion, and innovation for human capital optimization are enabled.","Supporting digital skills development for the culture sector through assessment of digital-skill needs, mapping of digital skill gaps, strengthening digital capacity to address key digital gaps and innovative policy and strategy support to all stakeholders both public and private sectors	","8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.,8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.",8 Decent Jobs and Economic Growth,Capacity Development/Technical Assistance,120500,75500,17100,40166.666666666664,29865.47,19432.36,40166.666666666664,29836.56,22754.11,40166.666666666664,31219.24,23391.54,40166.666666666664,29919.97,22554.93,40166.666666666664,29239.32,26837.27,40166.666666666664,37568.29,27558.74,100000.0,77532.23,67324.55,15500.0,11554.28,9569.65,5000.0,3946.34,2550.25,40166.666666666664,37449.72,29498.85,,,,,,,,,
Cambodia,Cambodia United Development Assistance Framework 2019-2023,"Strategic Priority 1 - Women and men in Cambodia, in particular the marginalized and vulnerable, have their basic needs addressed equitably",Outcome 1.2 - Public and private sectors provide quality services and expanded coverage for marginalized and vulnerable populations in line with international standards and norms (including during emergencies),"The management and administration of national social security and social protection institutions are improved as well as capacity of national stakeholders from different sectors in the area of social protection, including social partners, is enhanced to ensure an effective, efficient, accountable and sustainable implementation of incluseive and gender responsive social protection, and promote the extension of coverage to uncovered women and men","Supporting the implementation of the new digitally enabled processes for NSSF to enhance the registration, contribution, and service provision of workers",16.1 Significantly reduce all forms of violence and related death rates everywhere.,16 Peace and Justice - Strong Institutions,Policy Advice and Thought Leadership,454000,444560,0,151333.33333333334,107534.6,70913.86,151333.33333333334,110340.34,91452.33,151333.33333333334,143766.67,136536.13,151333.33333333334,134616.8,109974.18,151333.33333333334,116548.66,99009.13,54000.0,51300.0,37299.01,100000.0,69709.46,62445.43,300000.0,225858.85,188035.67,151333.33333333334,109655.14,96921.48,151333.33333333334,138257.54,118977.9,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,PROSPERITY: Promoting Inclusive and Sustainable Economic Growth,"By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","3.4.1  Enhanced policy environment for promoting  entrepreneurship and business development, including for youth and women, in line with domestic, regional, and international standards.","RMI 114 Support capacity building of policy makers and regulators; and provide technical assistance in design, review, amendments and implementation of policies and regulations to address emerging trends in the Digital Economy",-,-,Capacity Development/Technical Assistance,9091,0,0,9091.0,6978.71,5069.29,9091.0,7158.7,5540.15,9091.0,7645.43,7263.16,9091.0,8551.74,7827.22,9091.0,7978.77,6459.7,9091.0,7950.7,6258.03,9091.0,7079.75,5888.35,9091.0,6836.28,5687.5,21623.33,18868.55,16513.48,10483.481111111112,8082.0,6995.91,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,PROSPERITY: Promoting Inclusive and Sustainable Economic Growth,"By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","3.2.1 Strengthened institutional capacity to design and implement holistic policies to foster blue, green and creative economy at national and regional level","SAM 95 Building evidence-based capacity of trade policymakers for sustainable development through international trade in the digital economy (Trade, Investment and Innovation Division)",-,-,Convening/Partnerships/Knowledge Sharing,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,PROSPERITY: Promoting Inclusive and Sustainable Economic Growth,"By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","3.4.1  Enhanced policy environment for promoting  entrepreneurship and business development, including for youth and women, in line with domestic, regional, and international standards.","SOI 1 Data collection, validation and reporting of Inclusive Digital Economy Scorecard (IDES)","1.a Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.,9.1 Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all.,10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.","1 No Poverty; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure; 10 Reduced Inequalities",Capacity Development/Technical Assistance,9090,0,0,9090.0,7549.18,5487.49,9090.0,7442.23,5628.34,9090.0,6582.08,5818.95,9090.0,8429.96,7264.86,9090.0,7845.18,4953.82,9090.0,7223.29,4790.34,9090.0,6395.33,5106.63,9090.0,6179.74,5273.62,9090.0,7459.71,6040.27,9090.0,7926.27,7132.88,,,,,,,,,
Cambodia,United Nations Sustainable Development Cooperation Framework (2024-2028),Economic Transformation,"By 2028, people in Cambodia, especially those at risk of being left behind, benefit from and contribute to a productive, diversified, formalized and low carbon and climate adapted economy.","Agrifood systems are more efficient, climate-adapted, inclusive, formalised and safer.","National agricultural statistics systems are strengthened, leveraging digital tools to bridge the data gaps","2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.",2 Zero Hunger,Capacity Development/Technical Assistance; Data Collection and Analysis,403640,403640,271130,201820.0,154372.81,112477.57,201820.0,161422.27,122056.3,201820.0,191362.35,153346.22,201820.0,150446.57,142924.24,201820.0,184286.06,159040.83,201820.0,175038.37,145479.03,201820.0,153257.3,137272.42,201820.0,177332.79,163526.02,280000.0,240577.56,211210.46,123640.0,79369.0,69783.66,,,,,,,,,
Thailand,United Nations Sustainable Development Cooperation Framework,"Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","Accessibility, responsiveness, and quality of public services as enablers for Thailand’s transformation are improved.","Advancing the development of a Digital Competency Framework through assessments of teachers' digital capacities, including those for e-learning, and provisions of technical assistance.","4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States.",4 Quality Education,Capacity Development/Technical Assistance; Normative Support; Convening/Partnerships/Knowledge Sharing; Data Collection and Analysis; Direct Support/ Service Delivery; Policy Advice and Thought Leadership,80000,80000,0,40000.0,27577.3,22009.63,40000.0,30926.57,26967.54,40000.0,33868.73,27799.59,40000.0,35074.0,24643.47,40000.0,31827.46,30236.08,40000.0,33936.1,26499.73,40000.0,30605.13,25889.47,40000.0,27966.39,22423.07,40000.0,31229.95,22252.13,40000.0,32219.62,24229.52,,,,,,,,,
Thailand,United Nations Sustainable Development Cooperation Framework,"Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","Digital transformation, digital inclusion, and innovation for human capital optimization are enabled.","Digital rural transformation to combat hunger, poverty and inequality supported through 'Digital Village Initiative' and Agricultural Digitalization Policy Recommendation for Small Holders, by providing policy support and enhanced partnerships with government, private sector and institutional innovators, resource and multilateral partners – farmers to upscale digitalization","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.",1 No Poverty,Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,300000,300000,263612,150000.0,114664.9,83221.05,150000.0,115991.05,103734.84,150000.0,113567.94,98766.36,150000.0,142500.0,112402.16,150000.0,124765.26,114656.56,150000.0,121395.28,96894.15,150000.0,112200.65,101823.45,150000.0,111305.67,90847.22,150000.0,124009.93,82738.92,150000.0,129185.46,95827.23,,,,,,,,,
